,Unnamed: 0,name,lat,lng,formatted_address,rating,user_ratings_total,latest_reviews,positive_words,negative_words,categories
0,0,Aanda Ella Fall,6.712020599999999,80.4609959,RatnapuraWewelwatte Rd Sri Lanka,4.2,111.0,"['hike', 'Lanka', 'signage', 'visited', 'expected', 'reach', 'area', 'wasnt', 'breathtaking', 'family', 'Highly', 'interesting', 'water', 'splashing', 'hiking', 'day', 'added', 'spot', 'hidden', 'use', 'invigorating', 'falls', 'waterfall', 'wellmaintained', 'underwhelming', 'journey', 'experience', 'stop', 'fun', 'surrounding', 'friends', 'Fall', 'partner', 'youre', 'loved', 'reviews', 'gem', 'caves', 'charming', 'enjoyed', 'explore', 'visit', 'time', 'mesmerizing', 'exploring', 'exercise', 'Worth', 'found', 'views', 'expect', 'scenic', 'Aanda', 'hopes', 'dont', 'reading', 'hoped', 'crowded', 'trail', 'visiting', 'cascading', 'Ella', 'clean', 'way', 'kids', 'trip', 'Sri', 'recommend']",40,7,"hiking, waterfalls"
1,1,Aberdeen Waterfall,6.949148599999999,80.5015144,Ginigathhena Sri Lanka,4.8,1788.0,"['visited', 'stunning', 'bring', 'wonder', 'edge', 'word', 'highlight', 'getting', 'Overall', 'signs', 'surrounding', 'pack', 'friends', 'levels', 'careful', 'found', 'sturdy', 'charm', 'Sri', 'slippery', 'going', 'expected', 'snack', 'encountered', 'enjoying', 'challenging', 'Make', 'location', 'advice', 'remember', 'jungle', 'scenery', 'paths', 'litter', 'reached', 'heat', 'time', 'place', 'bit', 'Lanka', 'breathtaking', 'adds', 'Highly', 'challenges', 'spot', 'waterfall', 'crowds', 'magnificent', 'visitors', 'Aberdeen', 'shoes', 'avoid', 'steps', 'viewpoint', 'beauty', 'morning', 'went', 'plan', 'mustvisit', 'way', 'recommend', 'Visiting', 'hike', 'rain', 'lovers', 'area', 'kept', 'water', 'journey', 'anyone', 'deserves', 'care', 'path', 'nature', 'mesmerizing', 'minutes', 'took', 'think', 'areas', 'rocks', 'Waterfall', 'trek', 'left', 'views', 'trip']",35,4,"waterfalls, hiking"
2,2,Ahangama,5.973974699999999,80.36215949999998,Ahangama Sri Lanka,3.1449999999999982,1.0,"['bit', 'missing', 'surf', 'seemed', 'visited', 'something', 'expected', 'trap', 'priority', 'challenge', 'times', 'Ahangama', 'Finding', 'felt', 'day', 'spot', 'equipment', 'finding', 'idea', 'underwhelming', 'experience', 'spots', 'overcrowded', 'waves', 'fun', 'beach', 'traveler', 'friends', 'conditions', 'lacking', 'loved', 'wished', 'solo', 'lessons', 'service', 'disorganized', 'surfing', 'scene', 'wouldnt', 'trouble', 'learning', 'restrooms', 'vibe', 'tourist', 'commercialization', 'charming', 'time', 'waiting', 'visit', 'showers', 'hoping', 'instructors', 'struggled', 'culture', 'found', 'laidback', 'cafes', 'make', 'lot', 'crowded', 'staying', 'around', 'school', 'facilities', 'beachside', 'downsides', 'spent', 'management', 'couple', 'kids', 'okay', 'trip', 'family', 'recommend']",24,5,surfing
3,3,Ahungalla,6.313277600000001,80.0409178,Ahungalla Sri Lanka,2.8339999999999974,1.0,"['traveled', 'bit', 'seemed', 'expected', 'trap', 'wasnt', 'improvements', 'worth', 'challenge', 'chaotic', 'shops', 'rushed', 'ambiance', 'water', 'guides', 'Ahungalla', 'felt', 'food', 'finding', 'sunset', 'places', 'experience', 'overcrowded', 'suggest', 'beach', 'stop', 'wanted', 'friends', 'romance', 'youre', 'lacking', 'crowds', 'enjoy', 'escape', 'wouldnt', 'tourist', 'nice', 'looking', 'flavor', 'enjoyed', 'time', 'visit', 'hoping', 'expectations', 'making', 'took', 'options', 'walk', 'culture', 'noisy', 'Id', 'hit', 'disorganization', 'activities', 'better', 'make', 'swimming', 'restaurants', 'relax', 'facilities', 'dishes', 'limited', 'return', 'didnt', 'construction', 'kids', 'okay', 'trip', 'family', 'marred', 'recommend']",18,8,beach visits
4,4,Alahana Pirivena,7.961923700000002,81.00399499999997,Polonnaruwa Sri Lanka,4.8,121.0,"['Taking', 'visited', 'history', 'fascinating', 'site', 'stunning', 'ambiance', 'Lankan', 'meditation', 'highlight', 'Overall', 'experience', 'friends', 'era', 'prepared', 'Polonnaruwa', 'reflection', 'found', 'imagining', 'insights', 'visiting', 'Kiri', 'mustsee', 'information', 'improvement', 'Sri', 'amazed', 'decision', 'guided', 'atmosphere', 'significance', 'partner', 'serene', 'sheer', 'size', 'learning', 'heat', 'enjoyed', 'making', 'architecture', 'hours', 'vastness', 'enriching', 'importance', 'place', 'captivated', 'life', 'couple', 'ages', 'allowed', 'ruin', 'stories', 'spot', 'group', 'grandeur', 'tales', 'loved', 'tell', 'wandering', 'exploring', 'showcases', 'beauty', 'morning', 'ruins', 'spend', 'Buddhist', 'wellpreserved', 'get', 'kids', 'guide', 'family', 'recommend', 'Visiting', 'lack', 'stupa', 'signage', 'times', 'water', 'felt', 'Pirivena', 'use', 'journey', 'anyone', 'made', 'Alahana', 'depth', 'tours', 'Lankas', 'bringing', 'walk', 'visit', 'culture', 'Vihara', 'areas', 'reflecting', 'trip']",32,3,"historical monuments, history tours, architecture tours, cultural experiences, sightseeing"
5,5,Alankuda Casuarina Beach,8.048135199999999,79.709916,Sri Lanka,4.3,99.0,"['visited', 'beautiful', 'shade', 'breathtaking', 'stunning', 'casuarina', 'chairs', 'dayI', 'taste', 'surroundings', 'atmosphere', 'offer', 'day', 'Alankuda', 'food', 'spot', 'hidden', 'touch', 'experience', 'anyone', 'overcrowded', 'overall', 'aware', 'beach', 'made', 'walks', 'waves', 'downside', 'friends', 'partner', 'waters', 'loved', 'youre', 'pristine', 'thing', 'soaked', 'scenery', 'choice', 'gem', 'vibe', 'looking', 'enjoyed', 'exploring', 'visit', 'trees', 'resorts', 'appreciated', 'nearby', 'options', 'relaxation', 'found', 'laidback', 'dining', 'place', 'bustleAlankuda', 'mangroves', 'swimming', 'pack', 'beauty', 'waterMy', 'spend', 'Beach', 'Casuarina', 'mustvisit', 'get', 'clean', 'seeking', 'views', 'unwind', 'sands']",20,6,"beach visits, beachfront dining"
6,6,All Saints Church Galle  Church of Ceylon,6.0275339999999975,80.2174478,Galle Sri Lanka,4.4,198.0,"['take', 'Definitely', 'Visiting', 'captured', 'tranquil', 'history', 'breathtaking', 'stunning', 'family', 'reflects', 'break', 'use', 'Nonetheless', 'surroundings', 'ambiance', 'stumbled', 'atmosphere', 'day', 'maintenance', 'significance', 'Saints', 'reflect', 'hidden', 'spot', 'intricate', 'stained', 'provided', 'highlight', 'grounds', 'Overall', 'Fort', 'journey', 'Galle', 'enhance', 'experience', 'anyone', 'made', 'serene', 'moment', 'soaking', 'escape', 'gem', 'looking', 'enjoyed', 'exploring', 'visit', 'mesmerizing', 'architecture', 'mustsee', 'streets', 'found', 'enriching', 'hour', 'surprise', 'place', 'areas', 'beauty', 'windows', 'glass', 'captivated', 'crowded', 'Church', 'details', 'charm', 'visiting', 'bustling', 'church', 'life', 'attention', 'spent', 'reflecting', 'kids', 'get', 'trip', 'vibrant', 'recommend']",26,1,"historical monuments, architecture tours, history tours"
7,7,Alupotha Ella Waterfall,6.6182776,80.4095082,Magurugoda Alupotha Rd Sri Lanka,4.4,122.0,"['bit', 'cleanliness', 'visited', 'lovers', 'beautiful', 'captured', 'expected', 'area', 'breathtaking', 'stunning', 'checking', 'enjoying', 'Nonetheless', 'pictures', 'water', 'day', 'picturesque', 'spot', 'appearance', 'location', 'waterfall', 'outdoors', 'experience', 'surrounding', 'friends', 'Alupotha', 'snapping', 'scenery', 'soaking', 'muddy', 'escape', 'gem', 'perfect', 'clearer', 'enjoyed', 'time', 'visit', 'mesmerizing', 'backdrop', 'exploring', 'hours', 'making', 'nature', 'relaxation', 'offers', 'photography', 'makes', 'place', 'photos', 'activities', 'swimming', 'isnt', 'Waterfall', 'terms', 'spent', 'Ella', 'taking', 'views', 'heads', 'family']",27,2,"waterfalls, photography, sightseeing"
8,8,Aluthnuwara Rajamaha Viharaya  Aluthnuwara,7.2273193,80.4852434,Mawanella  Aluthnuwara Rd Sri Lanka,4.9,251.0,"['visited', 'greenery', 'history', 'site', 'stunning', 'sharing', 'Lankan', 'understand', 'Overall', 'afternoon', 'experience', 'signs', 'maintained', 'surrounding', 'friends', 'appreciate', 'observe', 'reflection', 'found', 'temple', 'photos', 'Would', 'visiting', 'spent', 'decided', 'take', 'Sri', 'customs', 'families', 'contemplation', 'challenging', 'tranquility', 'timing', 'significance', 'English', 'suggest', 'youre', 'partner', 'chance', 'moment', 'Saturday', 'Aluthnuwara', 'enjoyed', 'making', 'architecture', 'hours', 'managed', 'traditions', 'enriching', 'place', 'captivated', 'pleasant', 'bit', 'environment', 'Lanka', 'Highly', 'stories', 'spot', 'hidden', 'help', 'group', 'crowds', 'recommended', 'learn', 'deeper', 'wandering', 'vibe', 'exploring', 'quaint', 'knows', 'spend', 'plan', 'way', 'kids', 'guide', 'welcoming', 'family', 'recommend', 'Visiting', 'Definitely', 'understanding', 'area', 'spaces', 'locals', 'carvings', 'day', 'ones', 'appreciated', 'someone', 'made', 'lacking', 'gem', 'peak', 'visit', 'took', 'culture', 'Viharaya', 'crowded', 'Rajamaha', 'trip']",36,2,"historical monuments, temple pilgrimages, architecture tours, history tours, sightseeing"
9,9,Ambalangoda,6.244152099999999,80.0590804,Ambalangoda Sri Lanka,3.671,1.0,"['anything', 'seemed', 'visited', 'inflated', 'see', 'area', 'shops', 'feel', 'guided', 'interesting', 'rushed', 'products', 'felt', 'rush', 'impression', 'setup', 'highlight', 'Overall', 'coordinated', 'underwhelming', 'lasting', 'leave', 'fishing', 'overcrowded', 'experience', 'crafts', 'stop', 'lacking', 'prioritize', 'enjoy', 'scene', 'talent', 'wouldnt', 'looking', 'results', 'watching', 'expectations', 'enjoyed', 'visit', 'excited', 'hoping', 'making', 'showcased', 'fell', 'culture', 'hype', 'prices', 'pieces', 'managed', 'potential', 'disorganization', 'turtle', 'Ambalangoda', 'art', 'bag', 'yield', 'crowded', 'overpriced', 'catch', 'management', 'organized', 'didnt', 'Fishing', 'offers', 'okay', 'stalls', 'family', 'marred']",27,7,fishing
