name,lat,lng,formatted_address,rating,user_ratings_total,latest_reviews,positive_words,negative_words,categories
Ahangama,5.973974699999999,80.36215949999998,Ahangama Sri Lanka,3.1449999999999982,1.0,"['bit', 'missing', 'surf', 'seemed', 'visited', 'something', 'expected', 'trap', 'priority', 'challenge', 'times', 'Ahangama', 'Finding', 'felt', 'day', 'spot', 'equipment', 'finding', 'idea', 'underwhelming', 'experience', 'spots', 'overcrowded', 'waves', 'fun', 'beach', 'traveler', 'friends', 'conditions', 'lacking', 'loved', 'wished', 'solo', 'lessons', 'service', 'disorganized', 'surfing', 'scene', 'wouldnt', 'trouble', 'learning', 'restrooms', 'vibe', 'tourist', 'commercialization', 'charming', 'time', 'waiting', 'visit', 'showers', 'hoping', 'instructors', 'struggled', 'culture', 'found', 'laidback', 'cafes', 'make', 'lot', 'crowded', 'staying', 'around', 'school', 'facilities', 'beachside', 'downsides', 'spent', 'management', 'couple', 'kids', 'okay', 'trip', 'family', 'recommend']",24,5,surfing
Ahungalla,6.313277600000001,80.0409178,Ahungalla Sri Lanka,2.8339999999999974,1.0,"['traveled', 'bit', 'seemed', 'expected', 'trap', 'wasnt', 'improvements', 'worth', 'challenge', 'chaotic', 'shops', 'rushed', 'ambiance', 'water', 'guides', 'Ahungalla', 'felt', 'food', 'finding', 'sunset', 'places', 'experience', 'overcrowded', 'suggest', 'beach', 'stop', 'wanted', 'friends', 'romance', 'youre', 'lacking', 'crowds', 'enjoy', 'escape', 'wouldnt', 'tourist', 'nice', 'looking', 'flavor', 'enjoyed', 'time', 'visit', 'hoping', 'expectations', 'making', 'took', 'options', 'walk', 'culture', 'noisy', 'Id', 'hit', 'disorganization', 'activities', 'better', 'make', 'swimming', 'restaurants', 'relax', 'facilities', 'dishes', 'limited', 'return', 'didnt', 'construction', 'kids', 'okay', 'trip', 'family', 'marred', 'recommend']",18,8,beach visits
Ambalangoda,6.244152099999999,80.0590804,Ambalangoda Sri Lanka,3.671,1.0,"['anything', 'seemed', 'visited', 'inflated', 'see', 'area', 'shops', 'feel', 'guided', 'interesting', 'rushed', 'products', 'felt', 'rush', 'impression', 'setup', 'highlight', 'Overall', 'coordinated', 'underwhelming', 'lasting', 'leave', 'fishing', 'overcrowded', 'experience', 'crafts', 'stop', 'lacking', 'prioritize', 'enjoy', 'scene', 'talent', 'wouldnt', 'looking', 'results', 'watching', 'expectations', 'enjoyed', 'visit', 'excited', 'hoping', 'making', 'showcased', 'fell', 'culture', 'hype', 'prices', 'pieces', 'managed', 'potential', 'disorganization', 'turtle', 'Ambalangoda', 'art', 'bag', 'yield', 'crowded', 'overpriced', 'catch', 'management', 'organized', 'didnt', 'Fishing', 'offers', 'okay', 'stalls', 'family', 'marred']",27,7,fishing
Anuradhapura,8.311351799999999,80.4036508,Anuradhapura Sri Lanka,3.711,1.0,"['bit', 'lack', 'peaceful', 'signage', 'monuments', 'refreshments', 'shade', 'history', 'fascinating', 'expected', 'stunning', 'destination', 'area', 'sites', 'wanting', 'challenging', 'chaoticVisiting', 'overwhelming', 'felt', 'significance', 'retreats', 'canWhile', 'engagement', 'impressive', 'visitor', 'Anuradhapura', 'use', 'Overall', 'ceremonies', 'okay', 'experience', 'made', 'crowds', 'enjoy', 'boxes', 'vibe', 'wandering', 'ticking', 'enjoyed', 'exploring', 'visit', 'heat', 'expectations', 'temples', 'architecture', 'struggled', 'hours', 'fell', 'culture', 'found', 'photography', 'experiencing', 'activities', 'areas', 'aspects', 'lot', 'bag', 'hopes', 'ancient', 'ruins', 'facilities', 'management', 'visiting', 'terms', 'left', 'kids', 'information', 'improvement', 'family', 'marred', 'recommend']",27,2,"historical monuments, history tours, architecture tours, temple pilgrimages, cultural experiences, sightseeing"
Arugam Bay Beach,6.840407799999999,81.8368478,Arugam Bay Beach Sri Lanka,4.8,1591.0,"['keep', 'seafood', 'nightlife', 'maintaining', 'improvements', 'Bay', 'stunning', 'noticed', 'riding', 'children', 'highlight', 'Overall', 'travelers', 'experience', 'spots', 'efforts', 'conditions', 'friends', 'fellow', 'waters', 'sand', 'instructors', 'relaxation', 'found', 'excitement', 'swimming', 'paradise', 'restaurants', 'charm', 'spent', 'return', 'surf', 'surfers', 'tranquility', 'atmosphere', 'food', 'scattered', 'waves', 'surfing', 'looking', 'litter', 'perfect', 'enjoyed', 'time', 'managed', 'sunsets', 'downsides', 'didnt', 'warm', 'couple', 'Arugam', 'bit', 'days', 'help', 'indulging', 'hope', 'season', 'loved', 'exploring', 'parties', 'Elephant', 'cafes', 'beauty', 'given', 'find', 'beachside', 'skills', 'welcoming', 'improve', 'family', 'Definitely', 'locals', 'lounging', 'day', 'attractions', 'beach', 'made', 'noise', 'schools', 'lessons', 'scene', 'excellent', 'Rock', 'visit', 'vibrant', 'offered', 'laidback', 'crowded', 'believe', 'Beach', 'beginners', 'catch', 'attention', 'detracted', 'adds', 'trip', 'wait']",16,8,"surfing, beach visits, beachfront dining"
Bambarakanda Falls,6.773351700000001,80.83121379999999,Kalupahana  Ohiya Rd Sri Lanka,4.5,2494.0,"['weekends', 'approach', 'stunning', 'quieter', 'bottom', 'highlight', 'Bambarakanda', 'price', 'afternoon', 'experience', 'signs', 'try', 'spots', 'surrounding', 'height', 'manageable', 'prepared', 'roads', 'found', 'photographers', 'photos', 'spent', 'Sri', 'slippery', 'going', 'expected', 'challenging', 'camping', 'inviting', 'youre', 'Falls', 'wearing', 'serene', 'thanks', 'escape', 'perfect', 'enjoyed', 'dream', 'amazing', 'place', 'minute', 'come', 'effort', 'bit', 'environment', 'Lanka', 'consider', 'breathtaking', 'base', 'view', 'hiking', 'spot', 'help', 'waterfall', 'refreshing', 'enjoy', 'shoes', 'thats', 'steps', 'city', 'beauty', 'morning', 'mustvisit', 'get', 'way', 'kids', 'guide', 'constructed', 'go', 'recommend', 'Visiting', 'hike', 'lovers', 'area', 'water', 'day', 'want', 'journey', 'traveling', 'pond', 'dip', 'bringing', 'walk', 'nature', 'took', 'areas', 'advise', 'crowded', 'terrain', 'trail', 'views', 'trip']",35,4,"hiking, waterfalls"
Bambarakiri Ella,7.495246000000002,80.69900109999998,Sri Lanka,4.4,2004.0,"['greenery', 'tranquil', 'stunning', 'getaway', 'Overall', 'experience', 'fun', 'surrounding', 'levels', 'prepared', 'Bambarakiri', 'relaxation', 'photos', 'swimming', 'breath', 'isnt', 'road', 'mist', 'distance', 'drive', 'take', 'slippery', 'expected', 'added', 'snacks', 'falls', 'location', 'remember', 'walking', 'perfect', 'enjoyed', 'making', 'currents', 'place', 'bridge', 'Ella', 'didnt', 'taking', 'hanging', 'allowed', 'trails', 'view', 'spot', 'waterfall', 'grass', 'refreshing', 'loved', 'recommended', 'enjoy', 'exploring', 'sound', 'leading', 'get', 'kids', 'family', 'recommend', 'Visiting', 'beautiful', 'area', 'kept', 'pictures', 'water', 'day', 'journey', 'suspension', 'made', 'bringing', 'walk', 'visit', 'nature', 'took', 'prohibited', 'photography', 'rocks', 'relax', 'trip', 'wonderful']",35,3,"waterfalls, hiking"
Belihuloya,6.7183990000000025,80.7740912,Belihuloya Sri Lanka,3.1169999999999987,1.0,"['neglected', 'lack', 'bit', 'seemed', 'visited', 'needs', 'expected', 'area', 'site', 'issue', 'improvements', 'wont', 'Belihuloya', 'trails', 'marked', 'rushed', 'camping', 'people', 'felt', 'maintenance', 'spot', 'privacy', 'getaway', 'measures', 'Camping', 'location', 'underwhelming', 'travelers', 'waterfalls', 'experience', 'lacked', 'fun', 'hope', 'rock', 'friends', 'noise', 'seems', 'lacking', 'solo', 'visitors', 'rushing', 'adventure', 'enjoyed', 'appeal', 'climbing', 'struggled', 'took', 'access', 'commercialized', 'amenities', 'place', 'Wouldnt', 'hopes', 'losing', 'facilities', 'charm', 'management', 'confusion', 'return', 'couple', 'rest', 'kids', 'okay', 'safety', 'family', 'marred', 'recommend']",20,7,"hiking, camping, waterfalls"
Bolgoda Lake,6.7712217999999975,79.90667629999999,Bolgoda Lake Sri Lanka,4.6,178.0,"['Bolgoda', 'bit', 'colors', 'sky', 'beautiful', 'expected', 'breathtaking', 'absolute', 'stunning', 'family', 'kayak', 'evenings', 'Lake', 'day', 'relaxed', 'idea', 'weather', 'Overall', 'group', 'mosquito', 'experience', 'fishing', 'explored', 'enthusiasts', 'partner', 'made', 'serene', 'surrounding', 'fish', 'bird', 'friends', 'retreat', 'youre', 'luck', 'rented', 'enjoy', 'action', 'Maybe', 'scenery', 'escape', 'gem', 'looking', 'perfect', 'adventure', 'bringing', 'enjoyed', 'time', 'visit', 'mesmerizing', 'nature', 'vibrant', 'check', 'Colombo', 'sunsets', 'found', 'arriving', 'place', 'views', 'city', 'delivered', 'painting', 'mangroves', 'session', 'opportunities', 'morning', 'caught', 'relax', 'went', 'crowded', 'catch', 'mustvisit', 'spotted', 'species', 'get', 'kids', 'go']",20,3,"kayaking, fishing, bird watching, boat safaris"
Bomburu Ella Waterfall,6.9473204,80.83119029999997,Galpalama Sri Lanka,4.7,1080.0,"['greenery', 'approach', 'stunning', 'ensure', 'landscapes', 'heads', 'experience', 'spots', 'prepared', 'adventure', 'found', 'surprise', 'photos', 'stands', 'filled', 'visiting', 'return', 'becomes', 'families', 'snacks', 'food', 'touch', 'Bomburu', 'scenery', 'reached', 'time', 'camera', 'plenty', 'Ella', 'didnt', 'taking', 'tiring', 'insects', 'ruin', 'stepping', 'offering', 'breathtaking', 'Highly', 'hidden', 'invigorating', 'waterfall', 'step', 'refreshing', 'loved', 'crowds', 'shoes', 'shots', 'exploring', 'avoid', 'delight', 'sound', 'perspective', 'went', 'Bring', 'get', 'leeches', 'way', 'kids', 'go', 'recommend', 'hike', 'viewpoints', 'area', 'water', 'day', 'gem', 'bringing', 'walk', 'path', 'mesmerizing', 'minutes', 'took', 'give', 'areas', 'wear', 'Waterfall', 'views', 'stalls']",32,3,"waterfalls, hiking"
